run_id,run_date,status,note,completed_at
e6b9ebea,2026-05-11,error,yfinance is unreachable,2026-05-11T22:51:33.046644+09:00
5d6e4f1b,2026-05-13,error,JQuantsClient is unreachable — check API credentials,2026-05-13T22:29:13.309518+09:00
b9b5515d,2026-05-14,error,JQuantsClient is unreachable — check API credentials,2026-05-14T22:04:58.708048+09:00
549e0673,2026-05-14,error,ticker',2026-05-14T23:56:17.205437+09:00
0b565b7d,2026-05-15,success,,2026-05-15T22:14:30.212960+09:00
372fe419,2026-05-18,success,,2026-05-18T23:48:28.406233+09:00
0a0f08e4,2026-05-19,success,,2026-05-19T23:16:16.210806+09:00
39e93d61,2026-05-20,success,,2026-05-20T22:56:15.824510+09:00
38f453a7,2026-05-21,success,,2026-05-21T23:27:49.525140+09:00
c632ab20,2026-05-22,error,JQuantsClient is unreachable — check API credentials,2026-05-22T22:37:32.544421+09:00
b72efd4f,2026-05-25,success,,2026-05-25T23:27:17.000084+09:00
3057c889,2026-05-26,success,,2026-05-26T23:20:21.809472+09:00
ad261a18,2026-05-27,success,,2026-05-27T23:43:09.201985+09:00
06e92a70,2026-05-28,success,,2026-05-28T23:57:14.270114+09:00
bd55fb61,2026-05-29,success,,2026-05-29T23:25:03.774000+09:00
2af66c72,2026-06-01,error,Only 0/213 tickers have fresh data (0% < 50%) — possible yfinance outage,2026-06-01T00:51:53.725491+09:00
8093531b,2026-06-05,success,,2026-06-05T22:29:12.695341+09:00
4411d780,2026-06-08,success,,2026-06-09T00:03:59.990128+09:00
9c779101,2026-06-09,success,,2026-06-09T23:07:47.478568+09:00
cb6d3c51,2026-06-10,success,,2026-06-10T23:41:46.674262+09:00
d20c6909,2026-06-12,success,,2026-06-12T23:27:59.565200+09:00
1565874f,2026-06-17,success,,2026-06-17T23:40:49.877631+09:00
2d0ea800,2026-06-18,success,,2026-06-18T23:36:43.060816+09:00
52f335bf,2026-06-19,success,,2026-06-19T23:33:49.507103+09:00
a325e4e4,2026-06-23,success,,2026-06-23T23:07:12.248438+09:00
8b62b6f0,2026-06-24,success,,2026-06-24T22:43:25.197625+09:00
14ab5e62,2026-06-25,success,,2026-06-25T22:41:29.220212+09:00
61b8e71c,2026-06-26,success,,2026-06-26T22:36:15.386356+09:00
05c14340,2026-06-29,success,,2026-06-30T00:04:37.695885+09:00
eebebea9,2026-06-30,success,,2026-06-30T22:29:39.246247+09:00
4eaf799e,2026-07-01,success,,2026-07-01T22:53:01.694910+09:00
2efddfcc,2026-07-02,success,,2026-07-02T22:23:19.434955+09:00
15b1e34b,2026-07-03,success,,2026-07-03T22:27:30.163496+09:00
5f278fbc,2026-07-06,success,,2026-07-06T23:49:59.332605+09:00
7cafcb54,2026-07-07,success,,2026-07-07T22:30:26.301444+09:00
74e40fcd,2026-07-08,success,,2026-07-08T22:09:22.977518+09:00
c9559948,2026-07-09,success,,2026-07-09T23:01:40.018956+09:00
b16bb92a,2026-07-10,success,,2026-07-10T22:22:19.363176+09:00
fe4e1352,2026-07-13,success,,2026-07-13T22:40:50.732542+09:00
c707f0f4,2026-07-14,success,,2026-07-14T21:43:44.335332+09:00
9735501c,2026-07-15,success,,2026-07-15T21:55:33.899497+09:00
