run_date,checked_at,domain,item,model,actual,severity,note
2026-07-10,2026-07-12T12:12:32+09:00,run,coverage,scan=no exits=1 entries=0,state=HOLDING note=,ok,
2026-07-10,2026-07-12T12:12:32+09:00,exit,2201.T.decision,EXIT 2026-07-10 STOP_LOSS @¥2649.5625,HOLD（本番は継続保有）,alert,モデルはザラ場ストップ約定を予測。SBI の実逆指値が約定していないかオーナー確認が必要
2026-07-10,2026-07-12T12:12:32+09:00,scan,coverage,n/a,no funnel row,ok,スキャンが走らない日（保有中/CB/非営業日）は scan parity 対象外
2026-07-13,2026-07-14T03:09:19+09:00,run,coverage,scan=no exits=0 entries=0,state=SIGNAL_SENT note=,ok,
2026-07-13,2026-07-14T03:09:19+09:00,scan,coverage,n/a,no funnel row,ok,スキャンが走らない日（保有中/CB/非営業日）は scan parity 対象外
2026-07-14,2026-07-15T02:35:11+09:00,run,coverage,scan=no exits=0 entries=0,state=IDLE note=,ok,
2026-07-14,2026-07-15T02:35:11+09:00,scan,coverage,n/a,no funnel row,ok,スキャンが走らない日（保有中/CB/非営業日）は scan parity 対象外
2026-07-15,2026-07-16T02:39:58+09:00,run,coverage,scan=yes exits=0 entries=0,state=SIGNAL_SENT note=,ok,
2026-07-15,2026-07-16T02:39:58+09:00,scan,valid_tickers,205,205,ok,
2026-07-15,2026-07-16T02:39:58+09:00,scan,screener_passed,22,22,ok,
2026-07-15,2026-07-16T02:39:58+09:00,scan,signal_candidates,3,3,ok,
2026-07-15,2026-07-16T02:39:58+09:00,scan,signals_sent,2,2,ok,
2026-07-15,2026-07-16T02:39:58+09:00,scan,signal_tickers,"2301.T,3088.T","2301.T,3088.T",ok,
2026-07-15,2026-07-16T02:39:58+09:00,scan,2301.T.reference_price,1646.0,1646.0,ok,
2026-07-15,2026-07-16T02:39:58+09:00,scan,3088.T.reference_price,2469.5,2469.5,ok,
2026-07-16,2026-07-17T02:41:22+09:00,run,coverage,scan=no exits=0 entries=2,state=HOLDING note=,ok,
2026-07-16,2026-07-17T02:41:22+09:00,entry,3088.T.decision,ENTRY @¥2451.5,ENTRY @¥2451.5,ok,実約定−モデル寄付 = ¥0.0（スリッページの正は slippage_log）
2026-07-16,2026-07-17T02:41:22+09:00,entry,2301.T.decision,ENTRY @¥1659.0,ENTRY @¥1634.0,info,実約定−モデル寄付 = ¥-25.0（スリッページの正は slippage_log）
2026-07-16,2026-07-17T02:41:22+09:00,scan,coverage,n/a,no funnel row,ok,スキャンが走らない日（保有中/CB/非営業日）は scan parity 対象外
2026-07-17,2026-07-18T02:31:59+09:00,run,coverage,scan=no exits=2 entries=0,state=HOLDING note=,ok,
2026-07-17,2026-07-18T02:31:59+09:00,exit,2301.T.decision,HOLD,HOLD,ok,
2026-07-17,2026-07-18T02:31:59+09:00,exit,2301.T.trailing_stop,1594.460,1593.1500,info,drift ¥1.3100（0.08%）
2026-07-17,2026-07-18T02:31:59+09:00,exit,2301.T.highest,1661.0,1647.0,info,モデルはザラ場高値、本番は終値で更新（既知の定義差）
2026-07-17,2026-07-18T02:31:59+09:00,exit,3088.T.decision,HOLD,HOLD,ok,
2026-07-17,2026-07-18T02:31:59+09:00,exit,3088.T.trailing_stop,2390.2125,2390.2125,ok,drift ¥0.0000（0.00%）
2026-07-17,2026-07-18T02:31:59+09:00,exit,3088.T.highest,2557.0,2532.0,info,モデルはザラ場高値、本番は終値で更新（既知の定義差）
2026-07-17,2026-07-18T02:31:59+09:00,scan,coverage,n/a,no funnel row,ok,スキャンが走らない日（保有中/CB/非営業日）は scan parity 対象外
2026-07-17,2026-07-21T03:20:57+09:00,run,coverage,scan=no exits=2 entries=0,state=HOLDING note=,ok,
2026-07-17,2026-07-21T03:20:57+09:00,exit,2301.T.decision,HOLD,HOLD,ok,
2026-07-17,2026-07-21T03:20:57+09:00,exit,2301.T.trailing_stop,1594.460,1593.1500,info,drift ¥1.3100（0.08%）
2026-07-17,2026-07-21T03:20:57+09:00,exit,2301.T.highest,1661.0,1647.0,info,モデルはザラ場高値、本番は終値で更新（既知の定義差）
2026-07-17,2026-07-21T03:20:57+09:00,exit,3088.T.decision,HOLD,HOLD,ok,
2026-07-17,2026-07-21T03:20:57+09:00,exit,3088.T.trailing_stop,2390.2125,2390.2125,ok,drift ¥0.0000（0.00%）
2026-07-17,2026-07-21T03:20:57+09:00,exit,3088.T.highest,2557.0,2532.0,info,モデルはザラ場高値、本番は終値で更新（既知の定義差）
2026-07-17,2026-07-21T03:20:57+09:00,scan,coverage,n/a,no funnel row,ok,スキャンが走らない日（保有中/CB/非営業日）は scan parity 対象外
2026-07-21,2026-07-22T02:46:31+09:00,run,coverage,scan=no exits=2 entries=0,state=HOLDING note=,ok,
2026-07-21,2026-07-22T02:46:31+09:00,exit,2301.T.decision,HOLD,HOLD,ok,
2026-07-21,2026-07-22T02:46:31+09:00,exit,2301.T.trailing_stop,1607.230,1593.1500,info,drift ¥14.0800（0.88%）
2026-07-21,2026-07-22T02:46:31+09:00,exit,2301.T.highest,1675.0,1655.0,info,モデルはザラ場高値、本番は終値で更新（既知の定義差）
2026-07-21,2026-07-22T02:46:31+09:00,exit,3088.T.decision,HOLD,HOLD,ok,
